"Label (Grouping)","Total:!!Owner occupied","Total:!!Renter occupied"
"Census Tract 1.01; Hennepin County; Minnesota","",""
"    Estimate","944","149"
"Census Tract 1.02; Hennepin County; Minnesota","",""
"    Estimate","1,248","553"
"Census Tract 3; Hennepin County; Minnesota","",""
"    Estimate","1,065","221"
"Census Tract 6.01; Hennepin County; Minnesota","",""
"    Estimate","1,568","422"
"Census Tract 6.03; Hennepin County; Minnesota","",""
"    Estimate","1,286","119"
"Census Tract 11; Hennepin County; Minnesota","",""
"    Estimate","483","432"
"Census Tract 17; Hennepin County; Minnesota","",""
"    Estimate","363","574"
"Census Tract 22; Hennepin County; Minnesota","",""
"    Estimate","202","170"
"Census Tract 24; Hennepin County; Minnesota","",""
"    Estimate","375","931"
"Census Tract 27; Hennepin County; Minnesota","",""
"    Estimate","526","322"
"Census Tract 32; Hennepin County; Minnesota","",""
"    Estimate","460","231"
"Census Tract 33; Hennepin County; Minnesota","",""
"    Estimate","327","378"
"Census Tract 38.01; Hennepin County; Minnesota","",""
"    Estimate","48","1,353"
"Census Tract 38.02; Hennepin County; Minnesota","",""
"    Estimate","12","884"
"Census Tract 59.01; Hennepin County; Minnesota","",""
"    Estimate","42","1,400"
"Census Tract 59.02; Hennepin County; Minnesota","",""
"    Estimate","93","994"
"Census Tract 68; Hennepin County; Minnesota","",""
"    Estimate","232","1,997"
"Census Tract 77; Hennepin County; Minnesota","",""
"    Estimate","281","3,072"
"Census Tract 78.01; Hennepin County; Minnesota","",""
"    Estimate","99","571"
"Census Tract 81; Hennepin County; Minnesota","",""
"    Estimate","512","1,398"
"Census Tract 82; Hennepin County; Minnesota","",""
"    Estimate","555","1,507"
"Census Tract 83; Hennepin County; Minnesota","",""
"    Estimate","191","369"
"Census Tract 84; Hennepin County; Minnesota","",""
"    Estimate","445","234"
"Census Tract 85; Hennepin County; Minnesota","",""
"    Estimate","824","873"
"Census Tract 95; Hennepin County; Minnesota","",""
"    Estimate","632","442"
"Census Tract 96; Hennepin County; Minnesota","",""
"    Estimate","935","400"
"Census Tract 106; Hennepin County; Minnesota","",""
"    Estimate","1,053","222"
"Census Tract 107; Hennepin County; Minnesota","",""
"    Estimate","807","156"
"Census Tract 110; Hennepin County; Minnesota","",""
"    Estimate","1,269","297"
"Census Tract 117.03; Hennepin County; Minnesota","",""
"    Estimate","1,406","178"
"Census Tract 117.04; Hennepin County; Minnesota","",""
"    Estimate","1,242","91"
"Census Tract 118; Hennepin County; Minnesota","",""
"    Estimate","1,671","266"
"Census Tract 119.98; Hennepin County; Minnesota","",""
"    Estimate","1,537","388"
"Census Tract 120.01; Hennepin County; Minnesota","",""
"    Estimate","2,159","394"
"Census Tract 120.03; Hennepin County; Minnesota","",""
"    Estimate","1,291","989"
"Census Tract 121.01; Hennepin County; Minnesota","",""
"    Estimate","603","589"
"Census Tract 121.02; Hennepin County; Minnesota","",""
"    Estimate","1,166","266"
"Census Tract 201.01; Hennepin County; Minnesota","",""
"    Estimate","1,167","0"
"Census Tract 201.02; Hennepin County; Minnesota","",""
"    Estimate","685","397"
"Census Tract 202.01; Hennepin County; Minnesota","",""
"    Estimate","259","591"
"Census Tract 202.02; Hennepin County; Minnesota","",""
"    Estimate","734","1,217"
"Census Tract 203.01; Hennepin County; Minnesota","",""
"    Estimate","666","168"
"Census Tract 203.02; Hennepin County; Minnesota","",""
"    Estimate","494","514"
"Census Tract 203.03; Hennepin County; Minnesota","",""
"    Estimate","1,115","202"
"Census Tract 203.04; Hennepin County; Minnesota","",""
"    Estimate","766","464"
"Census Tract 204; Hennepin County; Minnesota","",""
"    Estimate","1,190","941"
"Census Tract 205; Hennepin County; Minnesota","",""
"    Estimate","1,072","161"
"Census Tract 206; Hennepin County; Minnesota","",""
"    Estimate","589","151"
"Census Tract 207; Hennepin County; Minnesota","",""
"    Estimate","1,367","390"
"Census Tract 208.01; Hennepin County; Minnesota","",""
"    Estimate","786","142"
"Census Tract 208.04; Hennepin County; Minnesota","",""
"    Estimate","838","420"
"Census Tract 209.02; Hennepin County; Minnesota","",""
"    Estimate","826","86"
"Census Tract 209.03; Hennepin County; Minnesota","",""
"    Estimate","1,015","111"
"Census Tract 210.01; Hennepin County; Minnesota","",""
"    Estimate","1,714","802"
"Census Tract 210.02; Hennepin County; Minnesota","",""
"    Estimate","448","326"
"Census Tract 211; Hennepin County; Minnesota","",""
"    Estimate","697","154"
"Census Tract 212; Hennepin County; Minnesota","",""
"    Estimate","1,636","280"
"Census Tract 213; Hennepin County; Minnesota","",""
"    Estimate","1,291","1,150"
"Census Tract 214; Hennepin County; Minnesota","",""
"    Estimate","967","305"
"Census Tract 215.01; Hennepin County; Minnesota","",""
"    Estimate","1,093","942"
"Census Tract 215.02; Hennepin County; Minnesota","",""
"    Estimate","563","972"
"Census Tract 215.03; Hennepin County; Minnesota","",""
"    Estimate","922","1,085"
"Census Tract 215.04; Hennepin County; Minnesota","",""
"    Estimate","1,098","451"
"Census Tract 215.05; Hennepin County; Minnesota","",""
"    Estimate","1,192","912"
"Census Tract 216.01; Hennepin County; Minnesota","",""
"    Estimate","1,626","454"
"Census Tract 216.02; Hennepin County; Minnesota","",""
"    Estimate","1,601","1,185"
"Census Tract 217; Hennepin County; Minnesota","",""
"    Estimate","1,994","84"
"Census Tract 218; Hennepin County; Minnesota","",""
"    Estimate","799","176"
"Census Tract 219; Hennepin County; Minnesota","",""
"    Estimate","968","891"
"Census Tract 220; Hennepin County; Minnesota","",""
"    Estimate","628","764"
"Census Tract 221.01; Hennepin County; Minnesota","",""
"    Estimate","661","713"
"Census Tract 221.02; Hennepin County; Minnesota","",""
"    Estimate","936","531"
"Census Tract 222; Hennepin County; Minnesota","",""
"    Estimate","1,646","526"
"Census Tract 223.01; Hennepin County; Minnesota","",""
"    Estimate","707","279"
"Census Tract 223.02; Hennepin County; Minnesota","",""
