"Label (Grouping)","Total:!!1, detached","Total:!!1, attached","Total:!!2","Total:!!3 or 4","Total:!!5 to 9","Total:!!10 to 19","Total:!!20 to 49","Total:!!50 or more","Total:!!Mobile home","Total:!!Boat, RV, van, etc."
"Census Tract 1.01, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","1,102","26","29","18","0","10","0","0","0","0"
"Census Tract 1.02, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","1,592","40","22","20","36","29","86","107","10","0"
"Census Tract 3, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","1,271","14","8","121","0","0","26","0","0","0"
"Census Tract 6.01, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","1,765","24","149","33","0","149","10","0","0","0"
"Census Tract 6.03, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","1,288","10","13","0","0","0","0","0","0","0"
"Census Tract 11, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","558","37","208","50","4","19","36","4","0","0"
"Census Tract 17, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","448","72","408","30","33","23","23","54","0","0"
"Census Tract 22, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","260","25","153","5","12","8","26","0","0","0"
"Census Tract 24, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","335","33","380","74","7","68","59","261","0","0"
"Census Tract 27, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","795","10","38","12","0","53","11","0","0","0"
"Census Tract 32, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","504","29","60","23","13","24","0","14","3","0"
"Census Tract 33, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","377","108","136","83","9","60","0","0","0","0"
"Census Tract 38, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","151","72","249","137","140","454","455","340","0","0"
"Census Tract 59.01, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","35","45","68","75","80","138","441","967","0","0"
"Census Tract 59.02, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","75","56","66","85","104","280","365","151","0","21"
"Census Tract 68, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","160","31","221","101","225","640","663","307","0","0"
"Census Tract 77, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","130","46","107","98","133","243","332","942","0","0"
"Census Tract 78.01, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","56","24","66","42","109","144","110","133","0","0"
"Census Tract 81, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","404","39","271","247","355","337","301","9","0","0"
"Census Tract 82, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","415","108","257","290","107","431","171","461","46","0"
"Census Tract 83, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","287","14","147","147","37","45","6","0","0","0"
"Census Tract 84, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","400","34","262","79","0","42","0","0","0","0"
"Census Tract 85, Hennepin County, Minnesota","","","","","","","","","",""
"    Estimate","472","27","260","341","71","378","78","6","0","22"
"Census Tract 95, Hennepin County, Minnesota","","","","","","","","","",""
