"Label (Grouping)","Median value (dollars)"
"Census Tract 1.01, Hennepin County, Minnesota",""
"    Estimate","165,100"
"Census Tract 1.02, Hennepin County, Minnesota",""
"    Estimate","161,400"
"Census Tract 3, Hennepin County, Minnesota",""
"    Estimate","199,700"
"Census Tract 6.01, Hennepin County, Minnesota",""
"    Estimate","236,400"
"Census Tract 6.03, Hennepin County, Minnesota",""
"    Estimate","245,500"
"Census Tract 11, Hennepin County, Minnesota",""
"    Estimate","226,300"
"Census Tract 17, Hennepin County, Minnesota",""
"    Estimate","240,200"
"Census Tract 22, Hennepin County, Minnesota",""
"    Estimate","145,600"
"Census Tract 24, Hennepin County, Minnesota",""
"    Estimate","260,900"
"Census Tract 27, Hennepin County, Minnesota",""
"    Estimate","181,400"
"Census Tract 32, Hennepin County, Minnesota",""
"    Estimate","203,600"
"Census Tract 33, Hennepin County, Minnesota",""
"    Estimate","183,700"
"Census Tract 38.01, Hennepin County, Minnesota",""
"    Estimate","-"
"Census Tract 38.02, Hennepin County, Minnesota",""
"    Estimate","-"
"Census Tract 59.01, Hennepin County, Minnesota",""
"    Estimate","425,000"
"Census Tract 59.02, Hennepin County, Minnesota",""
"    Estimate","160,400"
"Census Tract 68, Hennepin County, Minnesota",""
"    Estimate","248,100"
"Census Tract 77, Hennepin County, Minnesota",""
"    Estimate","311,700"
"Census Tract 78.01, Hennepin County, Minnesota",""
"    Estimate","237,100"
"Census Tract 81, Hennepin County, Minnesota",""
"    Estimate","321,900"
"Census Tract 82, Hennepin County, Minnesota",""
"    Estimate","219,400"
"Census Tract 83, Hennepin County, Minnesota",""
"    Estimate","237,200"
"Census Tract 84, Hennepin County, Minnesota",""
"    Estimate","238,300"
"Census Tract 85, Hennepin County, Minnesota",""
"    Estimate","259,200"
"Census Tract 95, Hennepin County, Minnesota",""
"    Estimate","204,000"
"Census Tract 96, Hennepin County, Minnesota",""
"    Estimate","215,400"
"Census Tract 106, Hennepin County, Minnesota",""
"    Estimate","599,500"
"Census Tract 107, Hennepin County, Minnesota",""
"    Estimate","496,800"
"Census Tract 110, Hennepin County, Minnesota",""
"    Estimate","274,300"
"Census Tract 117.03, Hennepin County, Minnesota",""
"    Estimate","361,600"
"Census Tract 117.04, Hennepin County, Minnesota",""
"    Estimate","323,100"
"Census Tract 118, Hennepin County, Minnesota",""
"    Estimate","262,300"
"Census Tract 119.98, Hennepin County, Minnesota",""
"    Estimate","230,100"
"Census Tract 120.01, Hennepin County, Minnesota",""
"    Estimate","311,800"
"Census Tract 120.03, Hennepin County, Minnesota",""
"    Estimate","298,000"
"Census Tract 121.01, Hennepin County, Minnesota",""
"    Estimate","239,800"
"Census Tract 121.02, Hennepin County, Minnesota",""
"    Estimate","221,200"
"Census Tract 201.01, Hennepin County, Minnesota",""
"    Estimate","305,800"
"Census Tract 201.02, Hennepin County, Minnesota",""
"    Estimate","276,000"
"Census Tract 202.01, Hennepin County, Minnesota",""
"    Estimate","171,800"
"Census Tract 202.02, Hennepin County, Minnesota",""
"    Estimate","205,900"
"Census Tract 203.01, Hennepin County, Minnesota",""
"    Estimate","188,700"
"Census Tract 203.02, Hennepin County, Minnesota",""
"    Estimate","164,300"
"Census Tract 203.03, Hennepin County, Minnesota",""
"    Estimate","192,600"
"Census Tract 203.04, Hennepin County, Minnesota",""
"    Estimate","194,700"
"Census Tract 204, Hennepin County, Minnesota",""
"    Estimate","198,300"
"Census Tract 205, Hennepin County, Minnesota",""
"    Estimate","178,700"
"Census Tract 206, Hennepin County, Minnesota",""
"    Estimate","173,500"
"Census Tract 207, Hennepin County, Minnesota",""
"    Estimate","192,200"
"Census Tract 208.01, Hennepin County, Minnesota",""
"    Estimate","192,200"
"Census Tract 208.04, Hennepin County, Minnesota",""
"    Estimate","200,200"
"Census Tract 209.02, Hennepin County, Minnesota",""
"    Estimate","233,400"
"Census Tract 209.03, Hennepin County, Minnesota",""
"    Estimate","199,700"
"Census Tract 210.01, Hennepin County, Minnesota",""
"    Estimate","223,600"
"Census Tract 210.02, Hennepin County, Minnesota",""
"    Estimate","240,600"
"Census Tract 211, Hennepin County, Minnesota",""
"    Estimate","199,000"
"Census Tract 212, Hennepin County, Minnesota",""
"    Estimate","235,900"
"Census Tract 213, Hennepin County, Minnesota",""
"    Estimate","199,000"
"Census Tract 214, Hennepin County, Minnesota",""
"    Estimate","193,200"
"Census Tract 215.01, Hennepin County, Minnesota",""
"    Estimate","243,500"
"Census Tract 215.02, Hennepin County, Minnesota",""
"    Estimate","179,400"
"Census Tract 215.03, Hennepin County, Minnesota",""
"    Estimate","238,100"
"Census Tract 215.04, Hennepin County, Minnesota",""
"    Estimate","231,100"
"Census Tract 215.05, Hennepin County, Minnesota",""
"    Estimate","256,700"
"Census Tract 216.01, Hennepin County, Minnesota",""
"    Estimate","281,700"
"Census Tract 216.02, Hennepin County, Minnesota",""
"    Estimate","304,700"
"Census Tract 217, Hennepin County, Minnesota",""
"    Estimate","347,100"
"Census Tract 218, Hennepin County, Minnesota",""
"    Estimate","573,100"
"Census Tract 219, Hennepin County, Minnesota",""
"    Estimate","409,400"
"Census Tract 220, Hennepin County, Minnesota",""
"    Estimate","162,500"
"Census Tract 221.01, Hennepin County, Minnesota",""
"    Estimate","239,700"
"Census Tract 221.02, Hennepin County, Minnesota",""
"    Estimate","253,000"
"Census Tract 222, Hennepin County, Minnesota",""
"    Estimate","291,900"
"Census Tract 223.01, Hennepin County, Minnesota",""
"    Estimate","303,600"
"Census Tract 223.02, Hennepin County, Minnesota",""
"    Estimate","222,500"
"Census Tract 224, Hennepin County, Minnesota",""
"    Estimate","271,200"
"Census Tract 227, Hennepin County, Minnesota",""
"    Estimate","278,400"
"Census Tract 228.01, Hennepin County, Minnesota",""
"    Estimate","673,700"
"Census Tract 228.02, Hennepin County, Minnesota",""
"    Estimate","344,700"
"Census Tract 229.01, Hennepin County, Minnesota",""
"    Estimate","459,600"
"Census Tract 229.02, Hennepin County, Minnesota",""
"    Estimate","429,100"
"Census Tract 230, Hennepin County, Minnesota",""
"    Estimate","315,000"
"Census Tract 231, Hennepin County, Minnesota",""
"    Estimate","682,400"
"Census Tract 232.01, Hennepin County, Minnesota",""
"    Estimate","438,400"
"Census Tract 232.02, Hennepin County, Minnesota",""
"    Estimate","251,300"
"Census Tract 233, Hennepin County, Minnesota",""
"    Estimate","257,800"
"Census Tract 234.01, Hennepin County, Minnesota",""
"    Estimate","140,000"
"Census Tract 234.02, Hennepin County, Minnesota",""
"    Estimate","369,700"
"Census Tract 235.01, Hennepin County, Minnesota",""
"    Estimate","347,100"
"Census Tract 235.02, Hennepin County, Minnesota",""
"    Estimate","534,500"
"Census Tract 236, Hennepin County, Minnesota",""
"    Estimate","1,003,500"
"Census Tract 237, Hennepin County, Minnesota",""
"    Estimate","475,200"
"Census Tract 238.01, Hennepin County, Minnesota",""
"    Estimate","591,300"
