"Label (Grouping)","Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)"
"Census Tract 1.01, Hennepin County, Minnesota",""
"    Estimate","59,414"
"Census Tract 1.02, Hennepin County, Minnesota",""
"    Estimate","43,438"
"Census Tract 3, Hennepin County, Minnesota",""
"    Estimate","65,407"
"Census Tract 6.01, Hennepin County, Minnesota",""
"    Estimate","80,737"
"Census Tract 6.03, Hennepin County, Minnesota",""
"    Estimate","67,019"
"Census Tract 11, Hennepin County, Minnesota",""
"    Estimate","60,764"
"Census Tract 17, Hennepin County, Minnesota",""
"    Estimate","50,900"
"Census Tract 22, Hennepin County, Minnesota",""
"    Estimate","26,750"
"Census Tract 24, Hennepin County, Minnesota",""
"    Estimate","41,768"
"Census Tract 27, Hennepin County, Minnesota",""
"    Estimate","51,250"
"Census Tract 32, Hennepin County, Minnesota",""
"    Estimate","47,404"
"Census Tract 33, Hennepin County, Minnesota",""
"    Estimate","30,521"
"Census Tract 38, Hennepin County, Minnesota",""
"    Estimate","27,317"
"Census Tract 59.01, Hennepin County, Minnesota",""
"    Estimate","16,897"
"Census Tract 59.02, Hennepin County, Minnesota",""
"    Estimate","23,714"
"Census Tract 68, Hennepin County, Minnesota",""
"    Estimate","32,732"
"Census Tract 77, Hennepin County, Minnesota",""
"    Estimate","46,719"
"Census Tract 78.01, Hennepin County, Minnesota",""
"    Estimate","26,094"
"Census Tract 81, Hennepin County, Minnesota",""
"    Estimate","53,432"
"Census Tract 82, Hennepin County, Minnesota",""
"    Estimate","30,965"
"Census Tract 83, Hennepin County, Minnesota",""
"    Estimate","48,629"
"Census Tract 84, Hennepin County, Minnesota",""
"    Estimate","37,401"
"Census Tract 85, Hennepin County, Minnesota",""
"    Estimate","41,964"
"Census Tract 95, Hennepin County, Minnesota",""
"    Estimate","49,097"
"Census Tract 96, Hennepin County, Minnesota",""
"    Estimate","61,701"
"Census Tract 106, Hennepin County, Minnesota",""
"    Estimate","111,786"
"Census Tract 107, Hennepin County, Minnesota",""
"    Estimate","116,389"
"Census Tract 110, Hennepin County, Minnesota",""
"    Estimate","70,952"
"Census Tract 117.03, Hennepin County, Minnesota",""
"    Estimate","94,280"
"Census Tract 117.04, Hennepin County, Minnesota",""
"    Estimate","89,896"
"Census Tract 118, Hennepin County, Minnesota",""
"    Estimate","83,116"
"Census Tract 119.98, Hennepin County, Minnesota",""
"    Estimate","64,145"
"Census Tract 120.01, Hennepin County, Minnesota",""
"    Estimate","93,302"
"Census Tract 120.03, Hennepin County, Minnesota",""
"    Estimate","51,518"
"Census Tract 121.01, Hennepin County, Minnesota",""
"    Estimate","41,149"
"Census Tract 121.02, Hennepin County, Minnesota",""
"    Estimate","62,045"
"Census Tract 201.01, Hennepin County, Minnesota",""
"    Estimate","92,361"
"Census Tract 201.02, Hennepin County, Minnesota",""
"    Estimate","50,625"
"Census Tract 202, Hennepin County, Minnesota",""
"    Estimate","39,617"
"Census Tract 203.01, Hennepin County, Minnesota",""
"    Estimate","49,767"
"Census Tract 203.02, Hennepin County, Minnesota",""
"    Estimate","43,272"
"Census Tract 203.03, Hennepin County, Minnesota",""
"    Estimate","51,463"
"Census Tract 203.04, Hennepin County, Minnesota",""
"    Estimate","44,677"
"Census Tract 204, Hennepin County, Minnesota",""
"    Estimate","36,712"
"Census Tract 205, Hennepin County, Minnesota",""
"    Estimate","57,038"
"Census Tract 206, Hennepin County, Minnesota",""
"    Estimate","36,667"
"Census Tract 207, Hennepin County, Minnesota",""
"    Estimate","65,800"
"Census Tract 208.01, Hennepin County, Minnesota",""
"    Estimate","56,319"
"Census Tract 208.04, Hennepin County, Minnesota",""
"    Estimate","38,235"
"Census Tract 209.02, Hennepin County, Minnesota",""
"    Estimate","73,864"
"Census Tract 209.03, Hennepin County, Minnesota",""
"    Estimate","71,364"
