"Label (Grouping)","Median household income in the past 12 months (in 2022 inflation-adjusted dollars)"
"Census Tract 1.01; Hennepin County; Minnesota",""
"    Estimate","79,471"
"Census Tract 1.02; Hennepin County; Minnesota",""
"    Estimate","77,448"
"Census Tract 3; Hennepin County; Minnesota",""
"    Estimate","84,375"
"Census Tract 6.01; Hennepin County; Minnesota",""
"    Estimate","92,292"
"Census Tract 6.03; Hennepin County; Minnesota",""
"    Estimate","126,042"
"Census Tract 11; Hennepin County; Minnesota",""
"    Estimate","78,533"
"Census Tract 17; Hennepin County; Minnesota",""
"    Estimate","63,375"
"Census Tract 22; Hennepin County; Minnesota",""
"    Estimate","43,333"
"Census Tract 24; Hennepin County; Minnesota",""
"    Estimate","77,237"
"Census Tract 27; Hennepin County; Minnesota",""
"    Estimate","61,346"
"Census Tract 32; Hennepin County; Minnesota",""
"    Estimate","66,620"
"Census Tract 33; Hennepin County; Minnesota",""
"    Estimate","53,631"
"Census Tract 38.01; Hennepin County; Minnesota",""
"    Estimate","36,734"
"Census Tract 38.02; Hennepin County; Minnesota",""
"    Estimate","50,978"
"Census Tract 59.01; Hennepin County; Minnesota",""
"    Estimate","27,214"
"Census Tract 59.02; Hennepin County; Minnesota",""
"    Estimate","43,006"
"Census Tract 68; Hennepin County; Minnesota",""
"    Estimate","48,264"
"Census Tract 77; Hennepin County; Minnesota",""
"    Estimate","78,172"
"Census Tract 78.01; Hennepin County; Minnesota",""
"    Estimate","51,902"
"Census Tract 81; Hennepin County; Minnesota",""
"    Estimate","79,865"
"Census Tract 82; Hennepin County; Minnesota",""
"    Estimate","53,277"
"Census Tract 83; Hennepin County; Minnesota",""
"    Estimate","56,579"
"Census Tract 84; Hennepin County; Minnesota",""
"    Estimate","83,875"
"Census Tract 85; Hennepin County; Minnesota",""
"    Estimate","48,650"
"Census Tract 95; Hennepin County; Minnesota",""
"    Estimate","79,539"
"Census Tract 96; Hennepin County; Minnesota",""
"    Estimate","80,102"
"Census Tract 106; Hennepin County; Minnesota",""
"    Estimate","151,477"
"Census Tract 107; Hennepin County; Minnesota",""
"    Estimate","142,039"
"Census Tract 110; Hennepin County; Minnesota",""
"    Estimate","110,588"
